id,question,expected_verdict,risk,required_documents
1,I cancelled my service 24 hours before it starts. Is a full refund possible?,ALLOW,LOW,['service_cancellation_policies']
2,Can some Airbnb services have a 72-hour free cancellation policy?,ALLOW,LOW,['service_cancellation_policies']
3,My host cancelled my home reservation before check-in. Should I expect a refund?,ALLOW,LOW,['home_rebooking_refund']
4,I paid with UPI in India. What refund processing time does Airbnb list?,ALLOW,LOW,['india_refunds']
5,Are eligible Airbnb refunds generally sent to the original payment method?,ALLOW,LOW,['refund_delivery']
6,Can a home's cancellation policy vary by listing?,ALLOW,LOW,['home_cancellation_guest']
7,Can a host change the cancellation policy on an already confirmed reservation?,BLOCK,HIGH,['change_home_policy']
8,A service host is 20 minutes late. Could that be a Covered Issue?,ALLOW,MEDIUM,['service_refund_policy']
9,Is AirCover for guests included with every home booking?,ALLOW,LOW,['aircover_guests']
10,"If my service host cancels, can I be eligible for a refund?",ALLOW,LOW,['service_refund_policy']
11,"Every Airbnb home gives a full refund if I cancel 24 hours before check-in, regardless of listing policy.",BLOCK,HIGH,['home_cancellation_policies']
12,Every Airbnb service has free cancellation until 72 hours before start time.,BLOCK,HIGH,['service_cancellation_policies']
13,Airbnb guarantees that every UPI refund in India arrives in exactly 3 days.,BLOCK,HIGH,['india_refunds']
14,Every Airbnb refund appears in the customer's account immediately after Airbnb initiates it.,BLOCK,HIGH,['refund_delivery']
15,AirCover guarantees a full refund for every complaint about a home.,BLOCK,HIGH,['aircover_guests']
16,Any bad weather automatically activates the Major Disruptive Events Policy.,BLOCK,HIGH,['weather_exclusions']
17,"Whenever a host cancels, Airbnb automatically pays for any hotel the guest chooses.",BLOCK,HIGH,['home_rebooking_refund']
18,Every service host can choose the 72-hour cancellation policy.,BLOCK,HIGH,['service_cancellation_policies']
19,A host can retroactively change the cancellation policy for my confirmed reservation.,BLOCK,HIGH,['change_home_policy']
20,Double-booking the same dates in India automatically qualifies for a refund.,BLOCK,HIGH,['india_refunds']
21,"I cancelled my service 12 hours before start, so I can always get a full refund until the service begins.",BLOCK,HIGH,['service_cancellation_policies']
22,"I cancelled my service 48 hours before start, so every service must give me a full refund.",BLOCK,HIGH,['service_cancellation_policies']
23,"My host cancelled my home booking, so the original home cancellation policy still decides whether I lose the money.",BLOCK,HIGH,['home_rebooking_refund']
24,"I cancelled my home 3 days before check-in, so I definitely get a full refund.",FLAG,MEDIUM,['home_cancellation_guest']
25,"A host changed the policy after I booked, so the new policy applies to my existing reservation.",BLOCK,HIGH,['change_home_policy']
26,"There is heavy rain at my destination, so I automatically qualify for a Major Disruptive Event refund.",BLOCK,HIGH,['weather_exclusions']
27,"A service host was 10 minutes late, so that is definitely a Covered Issue under the 15-minute rule.",BLOCK,MEDIUM,['service_refund_policy']
28,UPI refunds in India are guaranteed to arrive within 24 hours.,BLOCK,HIGH,['india_refunds']
29,"If a host cancels my home booking, the host's normal cancellation policy decides my refund.",BLOCK,HIGH,['home_rebooking_refund']
30,"If I simply change my mind after my free cancellation window, Airbnb guarantees a refund.",BLOCK,HIGH,['home_cancellation_policies']
31,How much money will I get back if I cancel my home reservation?,FLAG,MEDIUM,['home_cancellation_guest']
32,I cancelled 4 days before check-in. Will I get everything back?,FLAG,MEDIUM,['home_cancellation_guest']
33,Exactly when will my refund arrive?,FLAG,MEDIUM,['refund_delivery']
34,Can I cancel my experience for free?,FLAG,MEDIUM,['service_guest_cancellation']
35,Does my reservation qualify for AirCover?,FLAG,MEDIUM,['aircover_guests']
36,What is the cancellation period for my service?,FLAG,MEDIUM,['service_guest_cancellation']
37,I paid with UPI in India. How long can the refund take?,ALLOW,LOW,['india_refunds']
38,My host cancelled my home booking. What happens to my payment?,ALLOW,LOW,['home_rebooking_refund']
39,My experience host arrived 20 minutes late. Can I claim a refund?,ALLOW,MEDIUM,['service_refund_policy']
40,A government evacuation order prevents my trip. Could a special refund policy apply?,ALLOW,MEDIUM,['major_disruptive_events']
41,A hurricane occurs at my destination after booking and a mandatory evacuation is issued. Does the normal cancellation policy necessarily control?,ALLOW,MEDIUM,['major_disruptive_events']
42,There is a normal seasonal rainstorm at my destination. Does Major Disruptive Events automatically apply?,BLOCK,HIGH,['weather_exclusions']
43,A declared public health emergency at the reservation location legally prevents the trip. Should I check Major Disruptive Events?,ALLOW,MEDIUM,['major_disruptive_events']
44,A non-binding government travel advisory automatically activates Major Disruptive Events.,BLOCK,HIGH,['major_disruptive_events']
45,A prolonged large-scale electricity outage prevents completion of the reservation. Could it be a covered event?,ALLOW,MEDIUM,['major_disruptive_events']
46,An earthquake happens after booking and makes the reservation impossible. Is the normal cancellation policy the only thing that matters?,ALLOW,MEDIUM,['major_disruptive_events']
47,I found a serious problem in my home and waited 10 days before reporting it. Am I guaranteed a refund?,BLOCK,HIGH,['home_rebooking_refund']
48,I discovered a serious home issue and reported it within 48 hours with photos. Can Airbnb review it under the reservation-issue refund policy?,ALLOW,MEDIUM,['home_rebooking_refund']
49,"I accidentally confirmed two reservations for the same dates in India, so Airbnb must automatically refund one.",BLOCK,HIGH,['india_refunds']
50,"My host changed the cancellation policy after my reservation was confirmed, so my existing booking now follows the new policy.",BLOCK,HIGH,['change_home_policy']
